sequence,eventTimeSec,eventTick,eventType,eventTaskId,eventTaskName,eventJobId,eventJobRow,eventResource
4893,3.3656,33656,finish,1,Sensor,674,1631,vehicle_sensor_cpu
4894,3.37,33700,release,1,Sensor,675,1632,vehicle_sensor_cpu
4895,3.37,33700,release,2,Estimator,338,1633,cloud_cpu_1
4896,3.37,33700,start,1,Sensor,675,1632,vehicle_sensor_cpu
4897,3.37,33700,start,2,Estimator,338,1633,cloud_cpu_1
4898,3.3706,33706,finish,1,Sensor,675,1632,vehicle_sensor_cpu
4899,3.3709,33709,finish,2,Estimator,338,1633,cloud_cpu_1
4900,3.375,33750,release,1,Sensor,676,1634,vehicle_sensor_cpu
4901,3.375,33750,start,1,Sensor,676,1634,vehicle_sensor_cpu
4902,3.3756,33756,finish,1,Sensor,676,1634,vehicle_sensor_cpu
4903,3.38,33800,release,1,Sensor,677,1635,vehicle_sensor_cpu
4904,3.38,33800,release,2,Estimator,339,1636,cloud_cpu_1
4905,3.38,33800,release,3,Controller,170,1637,cloud_cpu_1
4906,3.38,33800,release,4,Feedforward,170,1638,cloud_cpu_1
4907,3.38,33800,release,5,Merger,170,1639,cloud_cpu_1
4908,3.38,33800,start,1,Sensor,677,1635,vehicle_sensor_cpu
4909,3.38,33800,start,2,Estimator,339,1636,cloud_cpu_1
4910,3.3806,33806,finish,1,Sensor,677,1635,vehicle_sensor_cpu
4911,3.3809,33809,finish,2,Estimator,339,1636,cloud_cpu_1
4912,3.3809,33809,start,3,Controller,170,1637,cloud_cpu_1
4913,3.3812,33812,finish,3,Controller,170,1637,cloud_cpu_1
4914,3.3812,33812,start,4,Feedforward,170,1638,cloud_cpu_1
